id,year,azithromycin_mic_sign,cefixime_SIR,ceftriaxone_SIR,ciprofloxacin_SIR,private_record,private_owner
131310,2015,,S,S,,true,"Anastasia Unitt, University of Oxford"
131311,2015,,S,S,,true,"Anastasia Unitt, University of Oxford"
131312,2015,=,S,S,R,true,"Anastasia Unitt, University of Oxford"
131313,2015,=,S,S,R,true,"Anastasia Unitt, University of Oxford"
131314,2015,=,S,S,R,true,"Anastasia Unitt, University of Oxford"
131315,2015,=,S,S,R,true,"Anastasia Unitt, University of Oxford"
131316,2015,=,S,S,R,true,"Anastasia Unitt, University of Oxford"
131317,2015,=,S,S,R,true,"Anastasia Unitt, University of Oxford"
131318,2015,=,S,S,R,true,"Anastasia Unitt, University of Oxford"
131319,2015,=,S,S,R,true,"Anastasia Unitt, University of Oxford"
131320,2015,=,S,S,R,true,"Anastasia Unitt, University of Oxford"
131321,2015,=,S,S,R,true,"Anastasia Unitt, University of Oxford"
131322,2015,=,S,S,R,true,"Anastasia Unitt, University of Oxford"
131323,2015,=,S,S,R,true,"Anastasia Unitt, University of Oxford"
131324,2015,=,S,S,R,true,"Anastasia Unitt, University of Oxford"
131325,2015,=,S,S,R,true,"Anastasia Unitt, University of Oxford"
131326,2015,=,S,S,S,true,"Anastasia Unitt, University of Oxford"
131327,2015,=,S,S,R,true,"Anastasia Unitt, University of Oxford"
131328,2015,=,S,S,R,true,"Anastasia Unitt, University of Oxford"
131329,2016,=,S,S,R,true,"Anastasia Unitt, University of Oxford"
131330,2016,=,S,S,S,true,"Anastasia Unitt, University of Oxford"
131331,2016,=,S,S,S,true,"Anastasia Unitt, University of Oxford"
131332,2016,=,S,S,R,true,"Anastasia Unitt, University of Oxford"
131333,2016,=,S,S,R,true,"Anastasia Unitt, University of Oxford"
131334,2016,=,S,S,R,true,"Anastasia Unitt, University of Oxford"
131335,2016,=,S,S,R,true,"Anastasia Unitt, University of Oxford"
131336,2016,=,S,S,R,true,"Anastasia Unitt, University of Oxford"
131337,2016,=,S,S,R,true,"Anastasia Unitt, University of Oxford"
131338,2016,=,S,S,R,true,"Anastasia Unitt, University of Oxford"
131339,2016,=,S,S,R,true,"Anastasia Unitt, University of Oxford"
131340,2016,=,S,S,S,true,"Anastasia Unitt, University of Oxford"
131341,2016,=,S,S,R,true,"Anastasia Unitt, University of Oxford"
131342,2016,=,S,S,R,true,"Anastasia Unitt, University of Oxford"
131343,2016,=,S,S,R,true,"Anastasia Unitt, University of Oxford"
131344,2016,=,S,S,R,true,"Anastasia Unitt, University of Oxford"
131345,2016,=,S,S,R,true,"Anastasia Unitt, University of Oxford"
131346,2016,=,S,S,R,true,"Anastasia Unitt, University of Oxford"
131347,2016,=,S,S,R,true,"Anastasia Unitt, University of Oxford"
131348,2016,=,S,S,R,true,"Anastasia Unitt, University of Oxford"
131349,2016,=,S,S,R,true,"Anastasia Unitt, University of Oxford"
131350,2016,=,S,S,R,true,"Anastasia Unitt, University of Oxford"
131351,2016,=,S,S,R,true,"Anastasia Unitt, University of Oxford"
131352,2016,=,S,S,R,true,"Anastasia Unitt, University of Oxford"
131353,2016,=,S,S,R,true,"Anastasia Unitt, University of Oxford"
131354,2016,=,S,S,R,true,"Anastasia Unitt, University of Oxford"
131355,2016,=,S,S,R,true,"Anastasia Unitt, University of Oxford"
131356,2016,=,S,S,R,true,"Anastasia Unitt, University of Oxford"
131357,2016,=,S,S,R,true,"Anastasia Unitt, University of Oxford"
131358,2016,=,S,S,R,true,"Anastasia Unitt, University of Oxford"
131359,2016,=,S,S,R,true,"Anastasia Unitt, University of Oxford"
131360,2016,=,S,S,R,true,"Anastasia Unitt, University of Oxford"
131361,2016,=,S,S,R,true,"Anastasia Unitt, University of Oxford"
131362,2016,=,S,S,R,true,"Anastasia Unitt, University of Oxford"
131363,2016,=,S,S,R,true,"Anastasia Unitt, University of Oxford"
131364,2016,=,S,S,R,true,"Anastasia Unitt, University of Oxford"
131365,2016,=,S,S,S,true,"Anastasia Unitt, University of Oxford"
131366,2016,=,S,S,R,true,"Anastasia Unitt, University of Oxford"
131367,2016,=,S,S,R,true,"Anastasia Unitt, University of Oxford"
131368,2016,=,S,S,R,true,"Anastasia Unitt, University of Oxford"
131369,2016,=,S,S,R,true,"Anastasia Unitt, University of Oxford"
131370,2016,=,S,S,R,true,"Anastasia Unitt, University of Oxford"
131371,2016,=,S,S,S,true,"Anastasia Unitt, University of Oxford"
131372,2016,=,S,,R,true,"Anastasia Unitt, University of Oxford"
131373,2016,=,S,,R,true,"Anastasia Unitt, University of Oxford"
131374,2017,=,S,S,,true,"Anastasia Unitt, University of Oxford"
131375,2017,=,S,S,,true,"Anastasia Unitt, University of Oxford"
131376,2017,=,S,S,,true,"Anastasia Unitt, University of Oxford"
131377,2017,=,S,S,,true,"Anastasia Unitt, University of Oxford"
131378,2017,=,S,S,,true,"Anastasia Unitt, University of Oxford"
131379,2017,=,S,S,,true,"Anastasia Unitt, University of Oxford"
131380,2017,=,S,S,,true,"Anastasia Unitt, University of Oxford"
131381,2017,=,S,S,,true,"Anastasia Unitt, University of Oxford"
131382,2017,=,S,S,,true,"Anastasia Unitt, University of Oxford"
140559,2017,=,S,S,,true,"Odile Harrison, University of Oxford, UK"
140560,2017,=,S,S,,true,"Odile Harrison, University of Oxford, UK"
140561,2017,=,S,S,,true,"Odile Harrison, University of Oxford, UK"
140562,2018,=,S,S,,true,"Odile Harrison, University of Oxford, UK"
140563,2018,=,S,S,,true,"Odile Harrison, University of Oxford, UK"
140564,2018,=,S,S,,true,"Odile Harrison, University of Oxford, UK"
140565,2018,=,S,S,,true,"Odile Harrison, University of Oxford, UK"
140566,2018,=,S,S,,true,"Odile Harrison, University of Oxford, UK"
140567,2018,=,S,S,,true,"Odile Harrison, University of Oxford, UK"
140568,2018,=,S,S,,true,"Odile Harrison, University of Oxford, UK"
140569,2018,=,S,S,,true,"Odile Harrison, University of Oxford, UK"
140570,2018,=,S,S,,true,"Odile Harrison, University of Oxford, UK"
140571,2018,=,S,S,,true,"Odile Harrison, University of Oxford, UK"
140572,2019,=,S,S,,true,"Odile Harrison, University of Oxford, UK"
140573,2019,=,S,S,,true,"Odile Harrison, University of Oxford, UK"
140574,2019,=,S,S,,true,"Odile Harrison, University of Oxford, UK"
140575,2019,=,S,S,,true,"Odile Harrison, University of Oxford, UK"
140576,2019,=,S,S,,true,"Odile Harrison, University of Oxford, UK"
140577,2020,=,S,S,,true,"Odile Harrison, University of Oxford, UK"
140578,2020,=,S,S,,true,"Odile Harrison, University of Oxford, UK"
140579,2020,=,S,S,,true,"Odile Harrison, University of Oxford, UK"
140580,2020,=,S,S,,true,"Odile Harrison, University of Oxford, UK"
140581,2020,=,S,S,,true,"Odile Harrison, University of Oxford, UK"
140582,2020,=,S,S,,true,"Odile Harrison, University of Oxford, UK"
140583,2020,=,S,S,,true,"Odile Harrison, University of Oxford, UK"
140584,2021,=,S,S,,true,"Odile Harrison, University of Oxford, UK"
140585,2021,>,S,S,,true,"Odile Harrison, University of Oxford, UK"
140586,2021,=,S,S,,true,"Odile Harrison, University of Oxford, UK"
140587,2021,>,S,S,,true,"Odile Harrison, University of Oxford, UK"
140588,2021,=,S,S,,true,"Odile Harrison, University of Oxford, UK"
140589,2021,=,S,S,,true,"Odile Harrison, University of Oxford, UK"
140590,2021,=,S,S,,true,"Odile Harrison, University of Oxford, UK"
140591,2021,>,S,S,,true,"Odile Harrison, University of Oxford, UK"
140592,2021,=,S,S,,true,"Odile Harrison, University of Oxford, UK"
140593,2021,=,S,S,,true,"Odile Harrison, University of Oxford, UK"
140594,2021,=,S,S,,true,"Odile Harrison, University of Oxford, UK"
140595,2021,=,S,S,,true,"Odile Harrison, University of Oxford, UK"
140596,2021,=,S,S,,true,"Odile Harrison, University of Oxford, UK"
140597,2021,=,S,S,,true,"Odile Harrison, University of Oxford, UK"
140598,2021,=,S,S,,true,"Odile Harrison, University of Oxford, UK"
140599,2021,=,S,S,,true,"Odile Harrison, University of Oxford, UK"
140600,2022,=,S,S,,true,"Odile Harrison, University of Oxford, UK"
140601,2017,=,S,S,,true,"Odile Harrison, University of Oxford, UK"
140602,2017,=,S,S,,true,"Odile Harrison, University of Oxford, UK"
140603,2017,=,S,S,,true,"Odile Harrison, University of Oxford, UK"
140604,2017,=,S,S,,true,"Odile Harrison, University of Oxford, UK"
140605,2017,=,S,S,,true,"Odile Harrison, University of Oxford, UK"
140611,2019,=,S,S,,true,"Odile Harrison, University of Oxford, UK"
140612,2019,=,S,S,,true,"Odile Harrison, University of Oxford, UK"
140613,2019,=,S,S,,true,"Odile Harrison, University of Oxford, UK"
140617,2020,=,S,S,,true,"Odile Harrison, University of Oxford, UK"
140618,2021,>,S,S,,true,"Odile Harrison, University of Oxford, UK"
140619,2021,=,S,S,,true,"Odile Harrison, University of Oxford, UK"
155409,2012,,,,,true,"Odile Harrison, University of Oxford, UK"
155410,2013,,,,,true,"Odile Harrison, University of Oxford, UK"
155411,2013,,,,,true,"Odile Harrison, University of Oxford, UK"
155412,2013,,,,,true,"Odile Harrison, University of Oxford, UK"
155413,2013,,,,,true,"Odile Harrison, University of Oxford, UK"
155414,2013,,,,,true,"Odile Harrison, University of Oxford, UK"
155415,2013,,,,,true,"Odile Harrison, University of Oxford, UK"
155416,2013,,,,,true,"Odile Harrison, University of Oxford, UK"
155417,2013,,,,,true,"Odile Harrison, University of Oxford, UK"
155418,2013,,,,,true,"Odile Harrison, University of Oxford, UK"
155419,2013,,,,,true,"Odile Harrison, University of Oxford, UK"
155420,2013,,,,,true,"Odile Harrison, University of Oxford, UK"
155421,2013,,,,,true,"Odile Harrison, University of Oxford, UK"
155422,2013,,,,,true,"Odile Harrison, University of Oxford, UK"
155423,2013,,,,,true,"Odile Harrison, University of Oxford, UK"
155424,2013,,,,,true,"Odile Harrison, University of Oxford, UK"
155425,2014,,,,,true,"Odile Harrison, University of Oxford, UK"
155426,2015,,,,,true,"Odile Harrison, University of Oxford, UK"
155427,2015,,,,,true,"Odile Harrison, University of Oxford, UK"
155428,2015,,,,,true,"Odile Harrison, University of Oxford, UK"
155429,2015,,,,,true,"Odile Harrison, University of Oxford, UK"
155431,2015,,,,,true,"Odile Harrison, University of Oxford, UK"
155433,2015,,,,,true,"Odile Harrison, University of Oxford, UK"
155434,2016,,,,,true,"Odile Harrison, University of Oxford, UK"
155435,2017,,,,,true,"Odile Harrison, University of Oxford, UK"
155436,2017,,,,,true,"Odile Harrison, University of Oxford, UK"
155437,2017,,,,,true,"Odile Harrison, University of Oxford, UK"
155438,2017,,,,,true,"Odile Harrison, University of Oxford, UK"
155439,2017,,,,,true,"Odile Harrison, University of Oxford, UK"
155440,2017,,,,,true,"Odile Harrison, University of Oxford, UK"
155441,2017,,,,,true,"Odile Harrison, University of Oxford, UK"
155442,2017,,,,,true,"Odile Harrison, University of Oxford, UK"
155443,2017,,,,,true,"Odile Harrison, University of Oxford, UK"
155444,2017,,,,,true,"Odile Harrison, University of Oxford, UK"
155445,2017,,,,,true,"Odile Harrison, University of Oxford, UK"
155446,2017,,,,,true,"Odile Harrison, University of Oxford, UK"
