id,isolate,country,azithromycin_mic,cefixime_mic,ceftriaxone_mic
76059,NG_AMS0152,The Netherlands,0.016,,0.002
76144,NG_AMS0266,The Netherlands,0.094,,0.012
76150,NG_AMS0274,The Netherlands,0.047,,0.004
76186,NG_AMS0315,The Netherlands,0.047,,0.003
76325,592616,Norway,0.25,0.016,0.008
76391,595716,Norway,0.125,0.032,0.016
76422,597327,Norway,0.016,0.016,0.002
76506,605803,Norway,0.125,0.016,0.004
77398,601031,Norway,1,0.016,0.004
77413,EXNG375,Australia,0.25,,0.008
77428,EXNG575,Australia,0.25,,0.008
77430,EXNG646,Australia,0.25,,0.008
77459,EXNG1063,Australia,0.25,,0.008
78720,DO07-9,Denmark,,,
78730,DO13-142,Denmark,,,
78731,DO13-146,Denmark,,,
78733,DO13-248,Denmark,,,
78736,DO13-360,Denmark,,,
78738,DO13-440,Denmark,,,
78806,VNM11-103,Vietnam,,,
78809,VNM11-106,Vietnam,,,
78835,VNM11-33,Vietnam,,,
78842,VNM11-4,Vietnam,,,
78859,VNM11-55,Vietnam,,,
78866,VNM11-61,Vietnam,,,
78920,VNM16-11,Vietnam,,,
78922,VNM16-111,Vietnam,,,
78925,VNM16-114,Vietnam,,,
78926,VNM16-115,Vietnam,,,
78927,VNM16-116,Vietnam,,,
78930,VNM16-119,Vietnam,,,
78944,VNM16-132,Vietnam,,,
78947,VNM16-16,Vietnam,,,
78950,VNM16-19,Vietnam,,,
78951,VNM16-2,Vietnam,,,
78959,VNM16-3,Vietnam,,,
78964,VNM16-35,Vietnam,,,
78982,VNM16-51,Vietnam,,,
79002,VNM16-73,Vietnam,,,
79003,VNM16-74,Vietnam,,,
79004,VNM16-75,Vietnam,,,
79019,VNM16-9,Vietnam,,,
79020,VNM16-90,Vietnam,,,
79307,LRRBGS_0289,USA,0.25,0.015,0.015
79333,LRRBGS_0223,USA,0.25,0.06,0.008
79335,LRRBGS_0225,USA,0.25,0.015,0.008
82366,AUSMDU00005572,Australia,0.125,,0.016
82586,NGRL_177574,Ireland,0.5,0.094,0.047
82588,NGRL_422322,Ireland,0.5,0.016,0.008
83963,16AM101446,Sweden,,,
83965,16AM110701,Sweden,,,
86036,NG106,China,,,0.008
86037,NG105,China,,,0.016
86038,NG104,China,,,0.03
86039,NG103,China,,,0.008
86067,NG321,China,,,0.125
86104,NG184,China,,,0.125
86131,NG180,China,,,0.25
86138,NG388,China,,,0.125
86178,NG339,China,,,0.016
86182,NG234,China,,,0.0625
86234,NG080,China,,,0.125
86238,NG305,China,,,0.125
86254,NG423,China,,,0.06
86270,NG132,China,,,0.008
86277,NG008,China,,,0.016
86285,NG159,China,,,0.002
86322,NG101,China,,,0.016
86325,NG098,China,,,0.015
86329,NG094,China,,,0.004
86332,NG373,China,,,0.25
86336,NG367,China,,,0.0625
86341,NG372,China,,,0.25
86358,NG400,China,,,0.08
86389,NG005,China,,,0.032
86405,NG294,China,,,0.06
86409,NG119,China,,,0.03
86410,NG118,China,,,0.03
86415,NG113,China,,,0.03
86426,NG011,China,,,0.008
86438,NG207,China,,,0.015
86441,NG090,China,,,0.125
86446,NG085,China,,,0.03
86452,NG381,China,,,0.015
86620,AUSMDU00004498,New Zealand,0.12,0.03,0.03
86724,AUSMDU00006955,New Zealand,0.06,0.016,0.008
86901,AUSMDU00007104,New Zealand,0.03,0.008,0.004
87073,ECDC_AT13_479,Austria,,0.016,0.012
87074,ECDC_AT13_480,Austria,,0.016,0.016
87075,ECDC_AT13_481,Austria,,0.016,0.008
87077,ECDC_AT13_483,Austria,,0.023,0.012
87083,ECDC_AT13_489,Austria,,0.016,0.016
87089,ECDC_AT13_496,Austria,,0.023,0.032
87090,ECDC_AT13_497,Austria,,0.016,0.008
87091,ECDC_AT13_498,Austria,,0.016,0.012
87101,ECDC_AT13_508,Austria,,0.016,0.008
87103,ECDC_AT13_510,Austria,,0.016,0.006
87105,ECDC_AT13_512,Austria,,0.016,0.008
87114,ECDC_AT13_521,Austria,,0.016,0.008
87115,ECDC_AT13_522,Austria,,0.016,0.008
87116,ECDC_AT13_523,Austria,,0.016,0.012
87118,ECDC_AT13_525,Austria,,0.016,0.008
87120,ECDC_AT13_527,Austria,,0.023,0.023
87121,ECDC_AT13_528,Austria,,0.016,0.012
87122,ECDC_AT13_529,Austria,,0.016,0.008
87123,ECDC_AT13_530,Austria,,0.016,0.006
87125,ECDC_AT13_532,Austria,,0.016,0.012
87139,ECDC_BE13_456,Belgium,0.125,0.015,0.008
87140,ECDC_BE13_457,Belgium,0.06,0.008,0.004
87170,ECDC_BE13_488,Belgium,0.125,0.015,0.015
87179,ECDC_BE13_497,Belgium,0.25,0.015,0.008
87194,ECDC_DK13_458,Denmark,0.25,0.094,0.016
87200,ECDC_DK13_464,Denmark,0.047,0.064,0.006
87212,ECDC_DK13_477,Denmark,0.19,0.064,0.008
87220,ECDC_DK13_486,Denmark,0.047,0.002,0.004
87225,ECDC_DK13_491,Denmark,0.094,0.016,0.012
87230,ECDC_DK13_496,Denmark,0.023,0.016,0.003
87282,ECDC_ES040,Spain,0.25,0.06,0.06
87299,ECDC_ES057,Spain,0.12,0.007,0.007
87344,ECDC_FR13_099,France,0.047,0.016,0.006
87349,ECDC_FR13_104,France,0.032,0.016,0.003
87355,ECDC_FR13_110,France,0.125,0.016,0.008
87398,ECDC_GC_097,Norway,,0.016,0.003
87404,ECDC_GC_103,Norway,,0.016,0.016
87408,ECDC_GC_107,Norway,,0.032,0.023
87432,ECDC_GE13_078,Germany,,0.016,0.023
87455,ECDC_GE13_105,Germany,,0.016,0.023
87488,ECDC_GR13054,Greece,0.125,0.023,0.016
87510,ECDC_HU13_047,Hungary,,0.016,0.012
87513,ECDC_HU13_050,Hungary,,0.023,0.032
87539,ECDC_HU13_079,Hungary,,0.016,0.016
87584,ECDC_LV13_003,Latvia,,0.023,0.008
87593,ECDC_LV13_012,Latvia,,0.023,0.012
87596,ECDC_LV13_015,Latvia,,0.016,0.012
87605,ECDC_LV13_024,Latvia,,0.016,0.008
87609,ECDC_LV13_028,Latvia,,0.016,0.008
87704,ECDC_NL87,The Netherlands,0.047,0.016,0.004
87709,ECDC_PT13_004,Portugal,1,0.016,0.012
87720,ECDC_PT13_016,Portugal,0.125,0.016,0.008
87727,ECDC_PT13_023,Portugal,0.064,0.016,0.012
87743,ECDC_PT13_040,Portugal,0.25,0.016,0.008
87746,ECDC_PT13_043,Portugal,0.125,0.016,0.006
87761,ECDC_PT13_060,Portugal,0.032,0.016,0.003
87781,ECDC_PT13_081,Portugal,0.38,0.016,0.006
87794,ECDC_PT13_094,Portugal,0.125,0.016,0.002
87797,ECDC_PT13_098,Portugal,0.19,0.016,0.003
87808,ECDC_PT13_109,Portugal,0.125,0.016,0.002
87856,ECDC_RB13001956,UK,0.125,0.008,0.004
87929,ECDC_SE13_059,Sweden,0.125,0.032,0.032
87938,ECDC_SE13_068,Sweden,0.25,0.023,0.032
87949,ECDC_SE13_079,Sweden,0.125,0.016,0.008
87950,ECDC_SE13_080,Sweden,0.125,0.016,0.008
87951,ECDC_SE13_081,Sweden,0.25,0.016,0.023
87952,ECDC_SE13_082,Sweden,0.125,0.016,0.008
87975,ECDC_SI13_024,Slovenia,,0.016,0.008
88003,ECDC_SI13_059,Slovenia,,0.016,0.008
88006,ECDC_SI13_062,Slovenia,,0.016,0.012
88009,ECDC_SI13_065,Slovenia,,0.016,0.008
88010,ECDC_SI13_066,Slovenia,,0.016,0.008
88011,ECDC_SI13_067,Slovenia,,0.016,0.012
88015,ECDC_SI13_071,Slovenia,,0.016,0.012
88016,ECDC_SI13_072,Slovenia,,0.016,0.008
88020,ECDC_SI13_076,Slovenia,,0.016,0.008
88025,ECDC_SK13_057,Slovakia,,0.016,0.023
88068,ECDC_T2_ES006,Spain,0.06,0.03,0.007
88113,ECDC_T2_ES052,Spain,0.12,0.06,0.03
89181,TH18_97,Thailand,0.032,,0.004
89202,TH18_72,Thailand,0.064,,0.002
92688,6688,Australia,,,
93226,M7951,Australia,,,
95777,GHA-ADB-191,Ghana,,,
95789,GHA-NAV-040,Ghana,,,
95811,GHA-AIR-057,Ghana,,,
95812,GHA-AIR-058,Ghana,,,
95817,GHA-TMH-588,Ghana,,,
95819,GHA-TMH-612,Ghana,,,
101992,GCWGS-0752,USA,0.25,0.015,
102085,GCWGS-0868,USA,0.125,0.015,
102087,GCWGS-0870,USA,0.25,0.03,
102104,GCWGS-0887,USA,0.5,0.015,
102276,GCWGS-1761,USA,0.25,0.25,
106122,1107_Kenya,Kenya,,,
106123,1284_Kenya,Kenya,,,
106125,1912-5_Kenya,Kenya,,,
106126,2086_Kenya,Kenya,,,
106129,2250_Kenya,Kenya,,,
106135,2438_Kenya,Kenya,,,
106139,2564_Kenya,Kenya,,,
106140,2628_Kenya,Kenya,,,
106155,2822_Kenya,Kenya,,,
106156,2852_Kenya,Kenya,,,
106161,2932_Kenya,Kenya,,,
106164,3140_Kenya,Kenya,,,
106680,ERR3577329,UK,0.03,0.015,0.004
106723,ERR3577374,UK,0.03,0.004,0.002
106725,ERR3577377,UK,0.25,0.002,0.008
106750,ERR3577404,UK,0.06,0.015,0.008
106792,ERR3577450,UK,0.06,0.03,0.015
106849,ERR3577511,UK,0.25,0.015,0.008
106897,ERR3577561,UK,0.125,0.015,0.008
106922,ERR3577588,UK,0.125,0.03,0.008
106982,ERR3577651,UK,0.25,0.015,0.008
106983,ERR3577653,UK,0.25,0.015,0.008
107103,ERR3577782,UK,0.125,0.015,0.008
107164,ERR3577849,UK,0.06,0.03,0.015
107355,ERR3578063,UK,0.125,0.008,0.004
107358,ERR3578067,UK,,,
107456,ERR3578176,UK,0.125,0.03,0.008
107465,ERR3578187,UK,0.125,0.008,0.004
107524,ERR3578808,UK,0.25,0.015,0.008
107529,ERR3578813,UK,0.25,0.03,0.015
107533,ERR3578817,UK,0.25,0.015,0.008
107584,ERR3578869,UK,0.03,0.008,0.004
107637,ERR3578929,UK,0.25,0.008,0.004
107656,ERR3578949,UK,0.03,0.008,0.002
107671,ERR3578966,UK,0.125,0.03,0.008
107697,ERR3578996,UK,0.125,0.015,0.008
107701,ERR3579000,UK,0.03,0.002,0.002
107778,ERR3579084,UK,0.06,0.015,0.008
107781,ERR3579087,UK,0.25,0.008,0.008
107792,ERR3579098,UK,1,0.06,0.008
107798,ERR3579104,UK,0.03,0.008,0.002
107822,ERR3579136,UK,0.03,0.015,0.008
108285,BH12,Brazil,0.06,0.008,0.008
108294,BH21,Brazil,0.06,0.008,0.004
108299,BH27,Brazil,0.03,0.008,0.004
108328,BH56,Brazil,0.06,0.008,0.004
108337,BH65,Brazil,0.06,0.008,0.004
108340,BH68,Brazil,0.03,0.008,0.004
108359,BH89,Brazil,0.06,0.016,0.004
108361,BH91,Brazil,0.125,0.06,0.016
108363,BH93,Brazil,0.06,0.016,0.008
108364,BH95,Brazil,0.06,0.016,0.004
108367,BH98,Brazil,0.06,0.016,0.004
108374,BH105,Brazil,0.06,0.016,0.008
108385,BR12,Brazil,0.06,0.008,0.004
108386,BR13,Brazil,0.06,0.016,0.016
108403,BR34,Brazil,0.06,0.008,0.004
108408,BR39,Brazil,0.5,0.008,0.004
108418,BR50,Brazil,0.125,0.016,0.004
108444,FL10,Brazil,0.03,0.008,0.004
108462,FL28,Brazil,0.125,0.016,0.008
108466,FL32,Brazil,0.06,0.008,0.008
108475,FL41,Brazil,0.06,0.008,0.004
108480,FL46,Brazil,0.03,0.002,0.002
108481,FL47,Brazil,0.03,0.002,0.002
108604,Arg-8975,Argentina,0.5,0.25,0.06
108607,Arg-9143,Argentina,0.125,0.25,0.06
108739,NGPT08036,Portugal,,,0.004
108743,NGPT08042,Portugal,,,0.004
108751,NGPT08058,Portugal,,,0.004
108763,NGPT09039,Portugal,,0.016,0.008
108765,NGPT09044,Portugal,,0.016,0.012
108801,NGPT10049,Portugal,0.016,0.016,0.002
108858,NGPT12045,Portugal,0.064,0.016,0.004
108905,NGPT14170,Portugal,0.064,0.016,0.016
108994,NGPT17357,Portugal,0.047,0.016,0.002
108997,NGPT17360,Portugal,0.064,0.016,0.002
109009,NGPT17377,Portugal,0.25,0.016,0.003
109017,NGPT17393,Portugal,0.094,0.016,0.002
109055,NGPT17453,Portugal,0.064,0.016,0.002
109057,NGPT17455,Portugal,0.064,0.016,0.002
109061,NGPT17459,Portugal,0.064,0.016,0.002
109086,NGPT17500,Portugal,0.047,0.016,0.004
109087,NGPT17502,Portugal,0.023,0.016,0.002
109094,NGPT17515,Portugal,0.094,0.016,0.002
109095,NGPT17516,Portugal,,,
109096,NGPT17517,Portugal,,,
109290,ERR2631956,USA,0.064,0.016,0.012
109291,ERR3200850,USA,0.064,0.016,0.012
109292,ERR2631897,USA,0.032,0.023,0.016
109293,ERR2631922,USA,0.094,0.064,0.016
109294,ERR3201226,USA,0.064,0.016,0.012
109295,ERR2631914,USA,0.125,0.023,0.016
109449,ERR3201189,USA,,0.016,0.004
109450,ERR3201117,USA,0.032,0.016,0.008
109451,ERR3201360,USA,0.016,0.016,0.008
109452,ERR3201063,USA,0.125,0.016,0.008
109453,ERR1837117,USA,0.125,0.016,0.016
109454,ERR3201331,USA,0.064,0.016,0.012
109455,ERR1204803,USA,0.016,0.016,0.006
109456,ERR3201239,USA,0.016,0.016,0.008
109457,ERR3201240,USA,0.016,0.016,0.012
109566,ERR3201175,USA,0.5,0.016,0.023
109567,ERR1837111,USA,0.125,0.016,0.032
109568,ERR3200859,USA,0.19,0.016,0.012
109569,ERR3201218,USA,0.125,0.016,0.008
109779,ERR2631953,USA,0.125,0.023,0.008
109780,ERR3200889,USA,0.19,0.047,0.016
109781,ERR3200995,USA,0.064,0.016,0.002
109782,ERR1204773,USA,0.25,0.032,0.016
109783,ERR3200914,USA,0.064,0.016,0.023
109784,ERR3201034,USA,0.094,0.023,0.016
109785,ERR2631955,USA,0.25,0.032,0.064
109786,ERR2631868,USA,0.125,0.016,0.006
109788,ERR2631901,USA,0.19,0.023,0.023
109789,ERR3201009,USA,0.125,0.016,0.008
109790,ERR2631794,USA,0.125,0.032,0.016
109791,ERR2631767,USA,0.125,0.023,0.008
109792,ERR1204777,USA,0.19,0.023,0.016
109793,ERR3200864,USA,0.023,0.016,0.008
109794,ERR2631880,USA,0.25,0.047,0.047
109795,ERR3200918,USA,0.094,0.016,0.023
109796,ERR2631769,USA,0.032,0.016,0.006
109797,ERR3201094,USA,0.094,0.016,0.008
109800,ERR3201093,USA,0.016,0.023,0.008
109802,ERR3201304,USA,0.094,0.032,0.032
109803,ERR3200935,USA,0.064,0.016,0.012
109806,ERR3201181,USA,0.064,0.047,0.016
109808,ERR3200926,USA,0.064,0.016,0.008
109809,ERR1837123,USA,0.19,0.032,0.047
111442,GCWGS-10407,USA,0.125,0.008,0.008
111446,GCWGS-10543,USA,0.03,0.015,0.008
111452,GCWGS-10728,USA,0.008,0.008,0.004
111494,GCWGS-11246,USA,0.03,0.008,0.004
111549,GCWGS-6048,USA,0.125,0.015,0.008
111562,GCWGS-6266,USA,0.06,0.015,0.008
111594,GCWGS-6943,USA,0.06,0.03,0.008
111608,GCWGS-7333,USA,0.06,0.015,0.008
111641,GCWGS-8173,USA,0.03,0.015,0.004
111643,GCWGS-8179,USA,0.008,0.008,0.004
111651,GCWGS-8249,USA,0.25,0.06,0.015
111697,GCWGS-9702,USA,0.06,0.015,0.008
111732,GHA-TMH-633,Ghana,,,
111733,GHA-TMH-657,Ghana,,,
114056,GCWGS-11108,USA,0.125,0.015,0.004
115812,13ARS_VSM0542,Philippines,,,
115815,14ARS_ZPH0010,Philippines,,,
115816,14ARS_VSM0906,Philippines,,,
115819,14ARS_CVM0013,Philippines,,,
115821,14ARS_ZPH0016,Philippines,,,
115823,13ARS_VSM0640,Philippines,,,
115824,13ARS_VSM0543,Philippines,,,
115825,14ARS_NMC0209,Philippines,,,
115828,14ARS_VSM0348,Philippines,,,
115829,14ARS_ZPH0012,Philippines,,,
115873,GCWGS-10106,USA,0.015,0.015,0.008
115927,GCWGS-11248,USA,0.03,0.008,0.004
115953,GCWGS-11722,USA,0.06,0.008,0.004
115980,GCWGS-5622,USA,0.03,0.008,0.008
115995,GCWGS-6169,USA,0.125,0.03,0.03
116052,GCWGS-7641,USA,0.03,0.015,0.008
116078,GCWGS-8227,USA,0.03,0.015,0.008
116079,GCWGS-8229,USA,0.03,0.008,0.004
116083,GCWGS-8236,USA,0.06,0.008,0.004
116116,GCWGS-9074,USA,0.125,0.008,0.004
116119,GCWGS-9221,USA,0.03,0.015,0.015
116143,GCWGS-9439,USA,0.25,0.03,0.015
116226,UG245,Uganda,,,
116227,UG278,Uganda,,,
116233,UG009,Uganda,,,
116234,UG052,Uganda,,,
116236,UG440,Uganda,,,
116313,265_18,Germany,0.25,,
116427,18AR1403,New Zealand,0.12,0.06,0.016
116428,18AR1404,New Zealand,0.12,0.03,0.016
116455,18AR1478,New Zealand,0.12,0.016,0.008
117540,NG31052019,Cameroon,0.094,0.002,0.004
117547,NG14112003,Cameroon,0.064,0.002,0.006
117798,500208,Sweden,,,
117809,500327,Sweden,,,
117811,500380,Sweden,,,
117817,500456,Sweden,,,
117836,500539,Sweden,,,
117838,500572,Sweden,,,
117849,500678,Sweden,,,
117880,PT20-323,Portugal,,,
117887,FR20-040,France,,,
117899,SK20-055,Slovakia,,,
117909,500549,Sweden,,,
117915,500373,Sweden,,,
117948,16-100,Sweden,,,
117953,16-120,Sweden,,,
117966,16-135,Sweden,,,
117979,16-15,Sweden,,,
117981,16-155,Sweden,,,
117996,16-175,Sweden,,,
118020,16-191,Sweden,,,
118039,16-211,Sweden,,,
118053,16-228,Sweden,,,
118058,16-233,Sweden,,,
118063,16-240,Sweden,,,
118077,16-254,Sweden,,,
118087,16-267,Sweden,,,
118157,16-34,Sweden,,,
118165,16-35,Sweden,,,
118168,16-352,Sweden,,,
118176,16-362,Sweden,,,
118186,16-374,Sweden,,,
118201,16-39,Sweden,,,
118202,16-391,Sweden,,,
118219,16-41,Sweden,,,
118225,NG14112003Maxwell,Cameroon,0.12,,0.002
