id,isolate,region,year,NEIS0408(pilQ),NEIS0414,NEIS1753(PenA),NEIS2020(porB),NEIS2357
131233,GP-14-MUS-082,Gauteng Province,2014,,8,166,763,2
131234,GP-14-MUS-088,Gauteng Province,2014,623,8,23,,0
131235,GP-14-MUS-092,Gauteng Province,2014,613,8,228,,0
131236,GP-14-MUS-094,Gauteng Province,2014,251,13,228,,3
131237,GP-14-MUS-095,Gauteng Province,2014,22,13,266,,0
131238,GP-14-MUS-099,Gauteng Province,2014,251,13,228,6298,0
131239,GP-14-MUS-103,Gauteng Province,2014,251,13,228,,3
131240,GP-14-MUS-105,Gauteng Province,2014,184,,285,,3
131241,GP-14-MUS-107,Gauteng Province,2014,621,8,23,,2
131242,GP-14-MUS-110,Gauteng Province,2014,251,13,228,,3
131243,GP-14-MUS-114,Gauteng Province,2014,22,13,166,,0
131244,GP-14-MUS-117,Gauteng Province,2014,333,13,285,826,3
131245,GP-14-MUS-121,Gauteng Province,2014,333,13,494,,3
131246,GP-14-MUS-139,Gauteng Province,2014,251,13,228,,3
131247,GP-14-MUS-143,Gauteng Province,2014,,13,228,763,3
131248,GP-14-MUS-147,Gauteng Province,2014,,8,3248,8437,0
131249,GP-14-MUS-150,Gauteng Province,2014,23,13,228,,3
131250,GP-14-MUS-151,Gauteng Province,2014,251,13,228,,3
131251,GP-14-MUS-154,Gauteng Province,2014,251,13,228,,3
131252,GP-14-MUS-156,Gauteng Province,2014,251,13,228,,3
131253,GP-14-MUS-165,Gauteng Province,2014,,13,285,,
131254,GP-14-MUS-183,Gauteng Province,2014,251,13,228,,3
131255,GP-14-MUS-189,Gauteng Province,2014,2759,8,294,,0
131256,GP-14-MUS-194,Gauteng Province,2014,,13,294,878,10
131257,GP-14-MUS-211,Gauteng Province,2014,184,13,3253,,0
131258,GP-14-MUS-212,Gauteng Province,2014,251,13,21,,0
131259,GP-14-MUS-213,Gauteng Province,2014,251,13,228,,
131260,GP-14-MUS-214,Gauteng Province,2014,251,13,228,763,3
131261,GP-14-MUS-218,Gauteng Province,2014,251,13,228,3131,3
131262,GP-14-MUS-219,Gauteng Province,2014,251,13,228,,3
131263,GP-14-MUS-221,Gauteng Province,2014,251,13,228,,3
131264,GP-14-MUS-224,Gauteng Province,2014,19,8,294,7705,0
131265,GP-14-MUS-232,Gauteng Province,2014,251,13,285,4329,0
131266,GP-14-MUS-238,Gauteng Province,2014,251,13,228,,3
131267,GP-14-MUS-243,Gauteng Province,2014,251,13,228,,0
131268,GP-14-MUS-244,Gauteng Province,2014,251,13,228,,0
131269,GP-14-MUS-246,Gauteng Province,2014,333,13,285,5276,
131270,GP-14-MUS-247,Gauteng Province,2014,251,13,228,5273,
131271,GP-14-MUS-250,Gauteng Province,2014,251,13,228,,3
131272,GP-14-MUS-251,Gauteng Province,2014,619,8,294,,3
131273,GP-14-MUS-252,Gauteng Province,2014,251,13,228,,3
131274,15MUS-AH001,Gauteng Province,2015,251,13,228,,3
131275,15MUS-AH007,Gauteng Province,2015,,8,23,,0
131276,15MUS-AH008,Gauteng Province,2015,251,13,228,,3
131277,15MUS-AH009,Gauteng Province,2015,,13,228,,0
131278,15MUS-AH021,Gauteng Province,2015,251,13,228,,3
131279,15MUS-AH029,Gauteng Province,2015,19,8,294,912,0
131280,15MUS-AH030,Gauteng Province,2015,,13,285,6279,3
131281,15MUS-AH041,Gauteng Province,2015,251,13,228,,
131282,15MUS-AH042,Gauteng Province,2015,,8,294,,
131283,15MUS-AH060,Gauteng Province,2015,621,13,23,4325,0
131284,15MUS-AH061,Gauteng Province,2015,251,13,285,878,0
131285,15MUS-AH063,Gauteng Province,2015,251,13,228,2486,0
131286,15MUS-AH064,Gauteng Province,2015,,8,166,763,2
131287,15MUS-AH068,Gauteng Province,2015,251,13,228,763,3
131288,15MUS-AH077,Gauteng Province,2015,,8,23,6289,
131289,15MUS-AH078,Gauteng Province,2015,251,13,228,,3
131290,15MUS-AH079,Gauteng Province,2015,,13,228,878,3
131291,15MUS-AH083,Gauteng Province,2015,621,13,23,878,129
131292,15MUS-AH084,Gauteng Province,2015,251,13,228,,3
131293,15MUS-AH085,Gauteng Province,2015,,8,23,,0
131294,15MUS-AH086,Gauteng Province,2015,618,13,294,6283,0
131295,15MUS-AH087,Gauteng Province,2015,333,13,285,,3
131296,15MUS-AH088,Gauteng Province,2015,621,13,23,,2
131297,15MUS-AH089,Gauteng Province,2015,251,13,228,763,3
131298,15MUS-AH092,Gauteng Province,2015,619,8,294,,0
131299,15MUS-AH093,Gauteng Province,2015,251,13,285,,0
131300,15MUS-AH094,Gauteng Province,2015,623,8,515,,0
131301,15MUS-AH096,Gauteng Province,2015,613,8,294,,0
