id,isolate,region,year,NEIS0408(pilQ),NEIS0414,NEIS1753(PenA),NEIS2020(porB),NEIS2357
131144,GP-12-MUS-325,Gauteng Province,2012,2759,8,294,,
131145,GP-12-MUS-331,Gauteng Province,2012,251,13,228,,0
131146,GP-12-MUS-333,Gauteng Province,2012,621,13,166,,0
131147,GP-12-MUS-337,Gauteng Province,2012,,13,228,,
131148,GP-12-MUS-339,Gauteng Province,2012,251,,228,,3
131149,GP-12-MUS-356,Gauteng Province,2012,333,13,285,2500,3
131150,GP-12-MUS-358,Gauteng Province,2012,333,13,285,,3
131151,GP-12-MUS-361,Gauteng Province,2012,1399,8,166,,0
131152,GP-12-MUS-363,Gauteng Province,2012,623,8,23,,3
131153,GP-12-MUS-368,Gauteng Province,2012,251,13,228,,3
131154,GP-12-MUS-371,Gauteng Province,2012,251,13,228,,
131155,GP-13-MUS-001,Gauteng Province,2013,667,13,228,,0
131156,GP-13-MUS-015,Gauteng Province,2013,251,13,285,,0
131157,GP-13-MUS-032,Gauteng Province,2013,251,13,228,6298,3
131158,GP-13-MUS-044,Gauteng Province,2013,251,13,228,,3
131159,GP-13-MUS-047,Gauteng Province,2013,333,13,285,,3
131160,GP-13-MUS-051,Gauteng Province,2013,251,13,285,878,0
131161,GP-13-MUS-052,Gauteng Province,2013,251,13,285,,0
131162,GP-13-MUS-053,Gauteng Province,2013,251,13,228,,3
131163,GP-13-MUS-067,Gauteng Province,2013,333,13,285,,3
131164,GP-13-MUS-068,Gauteng Province,2013,2759,8,228,,3
131165,GP-13-MUS-070,Gauteng Province,2013,251,13,228,,3
131166,GP-13-MUS-073,Gauteng Province,2013,19,8,294,,0
131167,GP-13-MUS-076,Gauteng Province,2013,621,13,23,,2
131168,GP-13-MUS-077,Gauteng Province,2013,251,13,228,,
131169,GP-13-MUS-080,Gauteng Province,2013,2759,8,294,,3
131170,GP-13-MUS-081,Gauteng Province,2013,19,1230,294,,0
131171,GP-13-MUS-083,,2013,,,,,
131172,GP13-MUS-085,Gauteng Province,2013,251,13,228,,3
131173,GP13-MUS-086,Gauteng Province,2013,,8,228,1109,
131174,GP13-MUS-088,Gauteng Province,2013,251,,228,3131,3
131175,GP-13-MUS-096,Gauteng Province,2013,,8,23,,2
131176,GP-13-MUS-099,Gauteng Province,2013,621,13,228,,3
131177,GP-13-MUS-103,Gauteng Province,2013,19,8,287,912,0
131178,GP-13-MUS-105,Gauteng Province,2013,,8,515,,3
131179,GP-13-MUS-107,Gauteng Province,2013,,8,23,,0
131180,GP-13-MUS-109,Gauteng Province,2013,621,13,23,,2
131181,GP-13-MUS-116,Gauteng Province,2013,2759,8,294,,3
131182,GP-13-MUS-120,Gauteng Province,2013,621,13,23,,0
131183,GP-13-MUS-121,Gauteng Province,2013,251,13,228,,3
131184,GP-13-MUS-129,Gauteng Province,2013,2759,8,294,,0
131185,GP-13-MUS-132,Gauteng Province,2013,,8,23,,2
131186,GP-13-MUS-133,Gauteng Province,2013,251,13,228,878,3
131187,GP-13-MUS-134,Gauteng Province,2013,,8,294,4127,0
131188,GP13-MUS-144,Gauteng Province,2013,,8,23,,0
131189,GP13-MUS-145,Gauteng Province,2013,251,8,228,,3
131190,GP13-MUS-152,Gauteng Province,2013,,223,166,,0
131191,GP13-MUS-177,Gauteng Province,2013,2759,8,294,,0
131192,GP13-MUS-179,Gauteng Province,2013,251,13,228,763,3
131193,GP13-MUS-187,Gauteng Province,2013,251,13,228,,3
131194,GP13-MUS-189,Gauteng Province,2013,621,13,23,,2
131195,GP13-MUS-190,Gauteng Province,2013,251,8,228,,0
131196,GP13-MUS-195,Gauteng Province,2013,251,13,228,763,3
131197,GP13-MUS-196,Gauteng Province,2013,,13,285,,3
131198,GP13-MUS-203,Gauteng Province,2013,,8,166,,2
131199,GP13-MUS-206,Gauteng Province,2013,251,13,228,,0
131200,GP13-MUS-208,Gauteng Province,2013,251,13,228,,3
131201,GP13-MUS-210,Gauteng Province,2013,251,13,228,878,3
131202,GP13-MUS-213,Gauteng Province,2013,251,13,228,,0
131203,GP13-MUS-215,Gauteng Province,2013,621,13,23,,0
131204,GP13-MUS-218,Gauteng Province,2013,2759,8,294,763,0
131205,GP13-MUS-225,Gauteng Province,2013,623,,515,,
131206,GP13-MUS-231,Gauteng Province,2013,619,8,294,,0
131207,GP-13-MUS-235,Gauteng Province,2013,619,8,294,,0
131208,GP-13-MUS-236,Gauteng Province,2013,621,13,294,1118,0
131209,GP-13-MUS-243,Gauteng Province,2013,251,13,228,6298,3
131210,GP-13-MUS-244,Gauteng Province,2013,,8,23,,2
131211,GP-13-MUS-247,Gauteng Province,2013,619,8,294,,0
131212,GP-13-MUS-253,Gauteng Province,2013,,13,23,,2
131213,GP-13-MUS-256,Gauteng Province,2013,251,13,228,,3
131214,GP-13-MUS-257,Gauteng Province,2013,251,13,228,,
131215,GP-13-MUS-258,Gauteng Province,2013,251,13,228,,0
131216,GP-13-MUS-269,Gauteng Province,2013,251,13,228,6298,3
131217,GP-13-MUS-271,Gauteng Province,2013,613,8,23,,80
131218,GP-13-MUS-272,Gauteng Province,2013,619,8,294,,0
131219,GP-13-MUS-275,Gauteng Province,2013,621,13,23,4329,0
131220,GP-13-MUS-276,Gauteng Province,2013,1399,8,166,,2
131221,GP-14-MUS-017,Gauteng Province,2014,667,13,294,,0
131222,GP-14-MUS-032,Gauteng Province,2014,251,13,228,,3
131223,GP-14-MUS-033,Gauteng Province,2014,586,13,287,4704,2
131224,GP-14-MUS-034,Gauteng Province,2014,251,13,228,,0
131225,GP-14-MUS-042,Gauteng Province,2014,251,13,228,,
131226,GP-14-MUS-052,Gauteng Province,2014,619,8,294,,3
131227,GP-14-MUS-054,Gauteng Province,2014,621,13,23,,2
131228,GP-14-MUS-057,Gauteng Province,2014,251,13,228,,130
131229,GP-14-MUS-063,Gauteng Province,2014,621,8,23,,0
131230,GP-14-MUS-064,Gauteng Province,2014,621,13,23,,0
131231,GP-14-MUS-069,Gauteng Province,2014,1399,8,166,,0
131232,GP-14-MUS-081,Gauteng Province,2014,623,8,515,,3
