id,country,year,private_record,private_owner
126934,South Africa,2022,false,
126935,South Africa,2022,false,
126936,South Africa,2022,false,
126937,South Africa,2022,false,
126938,South Africa,2022,false,
126939,South Africa,2022,false,
126940,South Africa,2022,false,
126941,South Africa,2022,false,
126942,South Africa,2022,false,
126943,South Africa,2022,false,
126944,South Africa,2022,false,
126945,South Africa,2022,false,
126946,South Africa,2022,false,
126947,South Africa,2022,false,
126948,South Africa,2022,false,
126949,South Africa,2022,false,
131095,South Africa,2012,true,"Anastasia Unitt, University of Oxford"
131096,South Africa,2012,true,"Anastasia Unitt, University of Oxford"
131097,South Africa,2012,true,"Anastasia Unitt, University of Oxford"
131098,South Africa,2012,true,"Anastasia Unitt, University of Oxford"
131099,South Africa,2012,true,"Anastasia Unitt, University of Oxford"
131100,South Africa,2012,true,"Anastasia Unitt, University of Oxford"
131101,South Africa,2012,true,"Anastasia Unitt, University of Oxford"
131102,South Africa,2012,true,"Anastasia Unitt, University of Oxford"
131103,South Africa,2012,true,"Anastasia Unitt, University of Oxford"
131104,South Africa,2012,true,"Anastasia Unitt, University of Oxford"
131105,South Africa,2012,true,"Anastasia Unitt, University of Oxford"
131106,South Africa,2012,true,"Anastasia Unitt, University of Oxford"
131107,South Africa,2012,true,"Anastasia Unitt, University of Oxford"
131108,South Africa,2012,true,"Anastasia Unitt, University of Oxford"
131109,South Africa,2012,true,"Anastasia Unitt, University of Oxford"
131110,South Africa,2012,true,"Anastasia Unitt, University of Oxford"
131111,South Africa,2012,true,"Anastasia Unitt, University of Oxford"
131112,South Africa,2012,true,"Anastasia Unitt, University of Oxford"
131113,South Africa,2012,true,"Anastasia Unitt, University of Oxford"
131114,South Africa,2012,true,"Anastasia Unitt, University of Oxford"
131115,South Africa,2012,true,"Anastasia Unitt, University of Oxford"
131116,South Africa,2012,true,"Anastasia Unitt, University of Oxford"
131117,South Africa,2012,true,"Anastasia Unitt, University of Oxford"
131118,South Africa,2012,true,"Anastasia Unitt, University of Oxford"
131119,South Africa,2012,true,"Anastasia Unitt, University of Oxford"
131120,South Africa,2012,true,"Anastasia Unitt, University of Oxford"
131121,South Africa,2012,true,"Anastasia Unitt, University of Oxford"
