id,isolate,ciprofloxacin_mic,penicillin_mic,tetracycline_mic
155639,20MUS-AH139,,,
155640,20MUS-AH141,,,
155641,20MUS-AH143,,,
155642,20MUS-AH144,,,
155643,20MUS-AH145,,,
155644,20MUS-AH146,,,
155645,20MUS-AH148,,,
155646,21MUS-AH003,,,
155647,21MUS-AH004,,,
155648,21MUS-AH008,,,
155649,21MUS-AH010,,,
155650,21MUS-AH012,,,
155651,21MUS-AH016,,,
155652,21MUS-AH017,,,
155653,21MUS-AH018,,,
155654,21MUS-AH021-R,,,
155655,21MUS-AH022,,,
155656,21MUS-AH024,,,
155657,21MUS-AH025,,,
155658,21MUS-AH027,,,
155659,21MUS-AH028,,,
155660,21MUS-AH031,,,
155661,21MUS-AH036,,,
155662,21MUS-AH039,,,
155663,21MUS-AH042,,,
155665,21MUS-AH052,,,
155666,21MUS-AH053,,,
155667,21MUS-AH055,,,
155668,21MUS-AH056,,,
155669,21MUS-AH057,,,
155670,21MUS-AH061,,,
155671,21MUS-AH065,,,
155672,21MUS-AH071,,,
155673,21MUS-AH072,,,
155674,21MUS-AH073,,,
155675,21MUS-AH074,,,
155676,21MUS-AH077,,,
155677,21MUS-AH078,,,
155678,21MUS-AH084,,,
155679,21MUS-AH090,,,
155680,21MUS-AH091,,,
155681,21MUS-AH093,,,
155682,21MUS-AH095,,,
155683,21MUS-AH098,,,
155684,21MUS-AH100,,,
155685,21MUS-AH101,,,
155686,21MUS-AH105-R,,,
155687,21MUS-AH106,,,
155688,21MUS-AH109,,,
155689,21MUS-AH111,,,
155690,21MUS-AH113,,,
155691,21MUS-AH114,,,
155692,21MUS-AH115,,,
155693,21MUS-AH119,,,
155694,21MUS-AH122,,,
155695,21MUS-AH125,,,
155696,21MUS-AH126,,,
155697,21MUS-AH127,,,
155698,21MUS-AH130,,,
155699,21MUS-AH131,,,
155701,21MUS-AH133,,,
155702,21MUS-AH134,,,
155703,21MUS-AH136,,,
155704,21MUS-AH137,,,
155705,21MUS-AH138,,,
155706,21MUS-AH139,,,
155707,21MUS-AH140,,,
155710,21MUS-AH148,,,
155711,21MUS-AH150,,,
155712,21MUS-AH151,,,
155714,21MUS-AH153-2,,,
155718,21MUS-AH164,,,
155719,21MUS-AH165,,,
155720,21MUS-AH166,,,
155722,21MUS-AH168,,,
155723,21MUS-AH169-1,,,
155725,21MUS-AH171,,,
155726,21MUS-AH174,,,
155728,21MUS-AH183,,,
155729,21MUS-AH185,,,
155730,21MUS-AH187,,,
155733,21MUS-AH195,,,
155734,21MUS-AH196,,,
155735,21MUS-AH198,,,
155738,21MUS-AH202,,,
155741,21MUS-AH205,,,
155742,21MUS-AH209,,,
155743,21MUS-AH210,,,
155744,21MUS-AH216,,,
155748,21MUS-AH223-2,,,
155749,15MUS-PI001,,,
155750,15MUS-PI002,,,
155751,15MUS-PI003,,,
155752,15MUS-PI004,,,
155753,15MUS-PI005-WGS,,,
155754,15MUS-PI006,,,
155755,15MUS-PI007,,,
155756,15MUS-PI011,,,
155757,15MUS-PI016,,,
155758,20MUS-AH109,,,
155759,15MUS-PI020,,,
155760,15MUS-PI025,,,
155761,15MUS-PI026,,,
155762,15MUS-PI029,,,
155763,15MUS-PI030,,,
155764,15MUS-PI036,,,
155767,15MUS-PI048,,,
155768,15MUS-PI056,,,
155769,15MUS-PI063-WGS,,,
155770,15MUS-PI064,,,
155772,15MUS-PI066,,,
155773,15MUS-PI067,,,
155774,15MUS-PI068,,,
155775,15MUS-PI076,,,
155776,15MUS-PI077,,,
155777,15MUS-PI078,,,
155778,15MUS-PI080,,,
155779,15MUS-PI082,,,
155780,15MUS-PI089,,,
155781,15MUS-PI091-WGS,,,
155782,15MUS-PI092-WGS,,,
155783,15MUS-PI093,,,
155784,15MUS-PI095,,,
155785,15MUS-PI097,,,
155787,15MUS-PI099,,,
155788,15MUS-PI100,,,
155789,15MUS-PI103,,,
155791,15MUS-PI105,,,
155792,15MUS-PI107,,,
155793,15MUS-PI110,,,
155794,15MUS-PI111,,,
155795,15MUS-PI112,,,
155796,18MUS-KM003,,,
155797,18MUS-KM009,,,
155798,18MUS-KM012,,,
155799,18MUS-KM013,,,
155801,18MUS-KM021,,,
155802,18MUS-KM024,,,
155803,18MUS-KM025,,,
155804,18MUS-KM026,,,
