cgST,Frequency,Percentage
34537,1,0.14
34538,1,0.14
34539,1,0.14
34540,1,0.14
34541,1,0.14
34542,1,0.14
34543,1,0.14
34544,1,0.14
34545,1,0.14
34546,1,0.14
34547,1,0.14
34549,1,0.14
34550,1,0.14
34551,1,0.14
34552,1,0.14
34553,1,0.14
34554,1,0.14
34555,1,0.14
34556,1,0.14
34557,1,0.14
34558,1,0.14
34559,1,0.14
34560,1,0.14
34561,1,0.14
34562,1,0.14
34563,1,0.14
34564,1,0.14
34565,1,0.14
34566,1,0.14
34567,1,0.14
34568,1,0.14
34569,1,0.14
34570,1,0.14
34571,1,0.14
34572,1,0.14
34573,1,0.14
34574,1,0.14
34575,1,0.14
34576,1,0.14
34577,1,0.14
34578,1,0.14
34579,1,0.14
34580,1,0.14
34581,1,0.14
34582,1,0.14
34583,1,0.14
34584,1,0.14
34585,1,0.14
34586,1,0.14
34587,1,0.14
34588,1,0.14
34589,1,0.14
34590,1,0.14
34591,1,0.14
34592,1,0.14
34593,1,0.14
34594,1,0.14
34595,1,0.14
34596,1,0.14
34597,1,0.14
34598,1,0.14
34599,1,0.14
34600,1,0.14
34601,1,0.14
34602,1,0.14
34603,1,0.14
34604,1,0.14
34606,1,0.14
19409,1,0.14
34607,1,0.14
19410,1,0.14
19411,1,0.14
19412,1,0.14
19413,1,0.14
19414,1,0.14
19416,1,0.14
19417,1,0.14
19418,1,0.14
19419,1,0.14
19420,1,0.14
19421,1,0.14
19422,1,0.14
19423,1,0.14
19424,1,0.14
19425,1,0.14
19426,1,0.14
19427,1,0.14
19428,1,0.14
19429,1,0.14
19430,1,0.14
19431,1,0.14
19432,1,0.14
19433,1,0.14
19434,1,0.14
19435,1,0.14
19436,1,0.14
19437,1,0.14
19438,1,0.14
19439,1,0.14
19440,1,0.14
19441,1,0.14
19442,1,0.14
19443,1,0.14
19444,1,0.14
19445,1,0.14
19446,1,0.14
19447,1,0.14
19448,1,0.14
19449,1,0.14
19450,1,0.14
19451,1,0.14
19452,1,0.14
19453,1,0.14
19454,1,0.14
19455,1,0.14
19456,1,0.14
19457,1,0.14
19458,1,0.14
19459,1,0.14
19460,1,0.14
