id,isolate,country,year,azithromycin_mic,23S_rRNA,NEIS0133,NEIS1633,NEIS1634,NEIS1635,pro_NEIS1635,private_record,private_owner
9715,A2455,Moldova,2005,,,,,,,,false,
11421,MZ174/08,Germany,2008,,,,,,,,false,
11457,008a,Russia [Europe],2005,,,,,,,,false,
11458,028a,Russia [Europe],2005,,,,,,,,false,
11459,029a,Russia [Europe],2005,,,,,,,,false,
11460,022i,Russia [Asia],2005,,,,,,,,false,
11461,019sp,Russia [Europe],2005,,,,,,,,false,
11462,001m,Russia [Europe],2005,,,,,,,,false,
11463,007s,Russia [Europe],2005,,,,,,,,false,
11642,LG1081,UK [England],2004,,,,,,,,false,
11643,S244,UK [England],1996,,,,,,,,false,
11644,S248,UK [England],1996,,,,,,,,false,
11645,L06,UK [England],2000,,,,,,,,false,
11646,G181,Italy,2004,,,,,,,,false,
11647,LG0540,UK [England],2004,,,,,,,,false,
11648,S58,UK [England],1995,,,,,,,,false,
11649,S89,UK [England],1995,,,,,,,,false,
11650,LG1930,UK [England],2004,,,,,,,,false,
11651,LG0923,UK [England],2004,,,,,,,,false,
11652,S242,UK [England],1996,,,,,,,,false,
11653,LG0906,UK [England],2004,,,,,,,,false,
11654,LG0617,UK [England],2004,,,,,,,,false,
11655,LG1461,UK [England],2004,,,,,,,,false,
12749,NG0009,Japan,2000,,,,,,,,false,
12750,NG0505,Japan,2005,,,,,,,,false,
12751,NG0501,Japan,2005,,,,,,,,false,
12752,NG9509,Japan,1995,,,,,,,,false,
12753,NG0405,Japan,2004,,,,,,,,false,
12754,NG0507,Japan,2005,,,,,,,,false,
12755,NG0007,Japan,2000,,,,,,,,false,
12756,NG9806,Japan,1998,,,,,,,,false,
12757,NG0406,Japan,2004,,,,,,,,false,
12758,NG9503,Japan,1995,,,,,,,,false,
12759,NG9505,Japan,1995,,,,,,,,false,
12760,NG9510,Japan,1995,,,,,,,,false,
12761,NG9506,Japan,1995,,,,,,,,false,
12762,NG9708,Japan,1997,,,,,,,,false,
12763,NG9608,Japan,1996,,,,,,,,false,
12764,NG9607,Japan,1996,,,,,,,,false,
