id,country,year,azithromycin_mic_sign,cefixime_SIR,ceftriaxone_SIR,ciprofloxacin_SIR
116248,Uganda,2018,,,,
116249,Uganda,2018,,,,
116250,Uganda,2018,,,,
116251,Uganda,2018,,,,
116252,Uganda,2018,,,,
116253,Uganda,2018,,,,
117540,Cameroon,2019,=,S,S,R
117541,Cameroon,2019,=,S,S,R
117542,Cameroon,2019,=,,S,R
117543,Cameroon,2020,=,S,S,R
117544,Cameroon,2020,=,,R,R
117545,Cameroon,2020,=,S,S,S
117546,Cameroon,2020,=,S,S,R
117547,Cameroon,2020,=,S,S,R
118224,Cameroon,2020,=,,R,R
118225,Cameroon,2020,=,,S,R
123150,Zambia,2020,,,,
123151,Zambia,2020,,,,
123152,Zambia,2020,,,,
123332,South Africa,2022,,,,
123333,South Africa,2022,,,,
123334,South Africa,2022,,,,
123335,South Africa,2022,,,,
123336,South Africa,2022,,,,
123337,South Africa,2022,,,,
123338,South Africa,2022,,,,
123339,South Africa,2022,,,,
123340,South Africa,2022,,,,
123341,South Africa,2022,,,,
123342,South Africa,2022,,,,
123343,South Africa,2022,,,,
123344,South Africa,2022,,,,
123345,South Africa,2022,,,,
123346,South Africa,2022,,,,
123347,South Africa,2022,,,,
125903,Madagascar,2020,=,,S,R
125904,Madagascar,2015,=,,S,R
125905,Madagascar,2019,=,,S,R
125906,Madagascar,2020,=,,S,R
125907,Madagascar,2020,=,,S,R
125908,Madagascar,2020,=,,S,R
125909,Madagascar,2016,=,,S,R
125910,Madagascar,2020,=,,S,R
125911,Madagascar,2020,=,,S,R
125912,Madagascar,2014,=,,S,R
125913,Madagascar,2020,=,,S,R
125914,Madagascar,2020,=,,S,R
125915,Madagascar,2014,=,,S,R
125916,Madagascar,2020,=,,S,R
125917,Madagascar,2014,=,,S,R
125918,Madagascar,2020,=,,S,R
125919,Madagascar,2020,=,,S,R
125920,Madagascar,2020,=,,S,R
125921,Madagascar,2020,=,,S,R
125922,Madagascar,2017,=,,S,R
125923,Madagascar,2019,=,,S,R
125924,Madagascar,2020,=,,S,R
125925,Madagascar,2020,=,,S,R
125926,Madagascar,2020,=,,S,R
125927,Madagascar,2020,=,,S,R
125928,Madagascar,2020,=,,S,R
125929,Madagascar,2020,=,,S,R
125930,Madagascar,2020,=,,S,R
125931,Madagascar,2020,=,,S,R
125932,Madagascar,2020,=,,S,R
125933,Madagascar,2017,=,,S,R
125934,Madagascar,2020,=,,S,R
125935,Madagascar,2019,=,,S,R
125936,Madagascar,2020,=,,S,R
125937,Madagascar,2020,=,,S,R
125938,Madagascar,2020,=,,S,R
125939,Madagascar,2019,=,,S,R
125940,Madagascar,2020,=,,S,R
125941,Madagascar,2020,=,,S,R
125942,Madagascar,2020,=,,S,R
125943,Madagascar,2016,=,,S,R
125945,Madagascar,2020,=,,S,R
125947,Madagascar,2020,=,,S,R
125948,Madagascar,2020,=,,S,R
125950,Madagascar,2016,=,,S,R
125951,Madagascar,2020,=,,S,R
126241,South Africa,2022,,,,
126242,South Africa,2022,,,,
126243,South Africa,2022,,,,
126244,South Africa,2022,,,,
126245,South Africa,2022,,,,
126246,South Africa,2022,,,,
126247,South Africa,2022,,,,
126248,South Africa,2022,,,,
126249,South Africa,2022,,,,
126250,South Africa,2022,,,,
126251,South Africa,2022,,,,
126252,South Africa,2022,,,,
126253,South Africa,2022,,,,
126254,South Africa,2022,,,,
126255,South Africa,2022,,,,
126256,South Africa,2022,,,,
126257,South Africa,2022,,,,
126258,South Africa,2022,,,,
126259,South Africa,2022,,,,
126260,South Africa,2022,,,,
126261,South Africa,2022,,,,
126262,South Africa,2022,,,,
126263,South Africa,2022,,,,
126264,South Africa,2022,,,,
126265,South Africa,2022,,,,
126266,South Africa,2022,,,,
126267,South Africa,2022,,,,
126268,South Africa,2022,,,,
126269,South Africa,2022,,,,
126270,South Africa,2022,,,,
126271,South Africa,2022,,,,
126272,South Africa,2022,,,,
126273,South Africa,2022,,,,
126274,South Africa,2022,,,,
126275,South Africa,2022,,,,
126929,South Africa,2022,,,,
126930,South Africa,2022,,,,
126931,South Africa,2022,,,,
126932,South Africa,2022,,,,
126933,South Africa,2022,,,,
126934,South Africa,2022,,,,
126935,South Africa,2022,,,,
126936,South Africa,2022,,,,
126937,South Africa,2022,,,,
126938,South Africa,2022,,,,
126939,South Africa,2022,,,,
126940,South Africa,2022,,,,
126941,South Africa,2022,,,,
126942,South Africa,2022,,,,
126943,South Africa,2022,,,,
126944,South Africa,2022,,,,
126945,South Africa,2022,,,,
126946,South Africa,2022,,,,
126947,South Africa,2022,,,,
126948,South Africa,2022,,,,
126949,South Africa,2022,,,,
131095,South Africa,2012,=,S,S,R
131096,South Africa,2012,,S,S,S
131097,South Africa,2012,,S,S,R
131098,South Africa,2012,,S,S,S
131099,South Africa,2012,=,S,S,R
131100,South Africa,2012,=,S,S,S
131101,South Africa,2012,=,S,S,R
131102,South Africa,2012,=,S,S,S
131103,South Africa,2012,,S,S,S
131104,South Africa,2012,=,S,S,S
131105,South Africa,2012,=,S,S,R
131106,South Africa,2012,=,S,S,R
131107,South Africa,2012,=,S,S,R
131108,South Africa,2012,=,S,S,R
131109,South Africa,2012,=,S,S,R
131110,South Africa,2012,,S,S,R
131111,South Africa,2012,=,S,S,R
131112,South Africa,2012,,S,S,S
131113,South Africa,2012,,S,S,R
131114,South Africa,2012,,S,S,S
131115,South Africa,2012,,S,S,R
131116,South Africa,2012,,S,S,R
131117,South Africa,2012,,S,S,R
131118,South Africa,2012,,S,S,S
131119,South Africa,2012,,S,S,R
131120,South Africa,2012,,S,S,R
131121,South Africa,2012,,S,S,R
131122,South Africa,2012,,S,S,R
131123,South Africa,2012,,S,S,S
131124,South Africa,2012,,S,S,R
131125,South Africa,2012,,S,S,R
131126,South Africa,2012,,S,S,R
131127,South Africa,2012,,S,S,S
131128,South Africa,2012,,S,S,R
131129,South Africa,2012,,S,S,S
131130,South Africa,2012,,S,S,R
131131,South Africa,2012,,S,S,R
131132,South Africa,2012,,S,S,R
131133,South Africa,2012,,S,S,R
131134,South Africa,2012,,S,S,R
131135,South Africa,2012,,S,S,R
131136,South Africa,2012,,S,S,S
131137,South Africa,2012,,S,S,S
131138,South Africa,2012,,S,S,R
131139,South Africa,2012,,S,S,S
131140,South Africa,2012,,S,S,R
131141,South Africa,2012,=,S,S,R
131142,South Africa,2012,=,S,S,R
131143,South Africa,2012,,S,S,R
131144,South Africa,2012,,S,S,S
131145,South Africa,2012,,S,S,R
131146,South Africa,2012,,S,S,R
131147,South Africa,2012,,S,S,R
131148,South Africa,2012,,S,S,R
131149,South Africa,2012,,S,S,R
131150,South Africa,2012,,S,S,R
131151,South Africa,2012,,S,S,R
131152,South Africa,2012,,S,S,R
131153,South Africa,2012,,S,S,R
131154,South Africa,2012,,S,S,R
131155,South Africa,2013,=,S,S,S
131156,South Africa,2013,=,S,S,R
131157,South Africa,2013,,S,S,R
131158,South Africa,2013,=,S,S,R
131159,South Africa,2013,=,S,S,R
131160,South Africa,2013,=,S,S,R
131161,South Africa,2013,=,S,S,R
131162,South Africa,2013,=,S,S,R
131163,South Africa,2013,=,S,S,R
131164,South Africa,2013,=,S,S,S
131165,South Africa,2013,=,S,S,R
131166,South Africa,2013,=,S,S,S
131167,South Africa,2013,=,S,S,R
131168,South Africa,2013,=,S,S,R
131169,South Africa,2013,=,S,S,S
131170,South Africa,2013,=,S,S,S
131171,South Africa,2013,,,,
131172,South Africa,2013,=,S,S,R
131173,South Africa,2013,=,S,S,R
131174,South Africa,2013,=,S,S,R
131175,South Africa,2013,,S,S,S
131176,South Africa,2013,=,S,S,R
131177,South Africa,2013,,S,S,R
131178,South Africa,2013,,S,S,S
131179,South Africa,2013,,S,S,R
131180,South Africa,2013,,S,S,R
131181,South Africa,2013,,S,S,S
131182,South Africa,2013,,S,S,R
131183,South Africa,2013,,S,S,R
131184,South Africa,2013,,S,S,S
131185,South Africa,2013,,S,S,S
131186,South Africa,2013,,S,S,R
131187,South Africa,2013,,S,S,S
131188,South Africa,2013,,S,S,S
131189,South Africa,2013,,S,S,S
131190,South Africa,2013,,S,S,S
131191,South Africa,2013,,S,S,S
131192,South Africa,2013,,S,S,R
131193,South Africa,2013,,S,S,R
131194,South Africa,2013,,S,S,R
131195,South Africa,2013,,S,S,S
131196,South Africa,2013,,S,S,R
131197,South Africa,2013,,S,S,R
131198,South Africa,2013,,S,S,R
131199,South Africa,2013,,S,S,R
131200,South Africa,2013,,S,S,R
131201,South Africa,2013,,S,S,R
131202,South Africa,2013,,S,S,R
131203,South Africa,2013,,S,S,R
131204,South Africa,2013,,S,S,S
131205,South Africa,2013,,S,S,S
131206,South Africa,2013,,S,S,R
131207,South Africa,2013,,S,S,S
131208,South Africa,2013,,S,S,S
131209,South Africa,2013,,S,S,R
131210,South Africa,2013,,S,S,S
131211,South Africa,2013,,S,S,S
131212,South Africa,2013,,S,S,R
131213,South Africa,2013,,S,S,R
131214,South Africa,2013,,S,S,R
131215,South Africa,2013,,S,S,R
131216,South Africa,2013,,S,S,R
131217,South Africa,2013,,S,S,S
131218,South Africa,2013,,S,S,R
131219,South Africa,2013,,S,S,R
131220,South Africa,2013,,S,S,R
131221,South Africa,2014,=,S,S,S
131222,South Africa,2014,=,S,S,R
131223,South Africa,2014,=,S,S,R
131224,South Africa,2014,=,S,S,R
131225,South Africa,2014,=,S,S,R
131226,South Africa,2014,=,S,S,R
131227,South Africa,2014,,S,S,R
131228,South Africa,2014,=,S,S,R
131229,South Africa,2014,=,S,S,S
131230,South Africa,2014,=,S,S,R
