,index,ID,LIN,Lineage,country,isolate,year,mydata,SA
79,80,36275,0_16_0_3_0_1_0_0_0_0_0,0_16_0,Kenya,51468,2011.0,N,N
80,81,36276,0_0_47_5_7_1_0_0_0_0_0,0_0_47,Kenya,51645,2011.0,N,N
81,82,36277,0_16_4_0_1_3_0_0_0_0_0,0_16_4,Kenya,59012,2012.0,N,N
82,83,36278,0_0_47_10_1_1_0_0_0_0_0,0_0_47,Kenya,T071,,N,N
83,84,36279,0_0_47_10_1_1_0_0_0_0_0,0_0_47,Kenya,60243,2013.0,N,N
84,85,36280,0_16_0_1_8_0_0_0_0_1_0,0_16_0,Kenya,47956,2011.0,N,N
85,86,36281,0_16_0_1_4_0_0_0_1_0_0,0_16_0,Kenya,47686,2011.0,N,N
86,87,36282,0_12_7_4_0_0_0_0_0_2_0,0_12_7,Kenya,45029,2010.0,N,N
87,88,36283,0_16_0_2_2_1_0_0_0_3_0,0_16_0,Kenya,47147,2011.0,N,N
88,89,36284,0_16_0_1_0_2_0_1_0_0_0,0_16_0,Kenya,44593,2010.0,N,N
89,90,36285,0_0_47_5_11_1_0_0_0_0_0,0_0_47,Kenya,43346,2010.0,N,N
90,91,36286,0_0_47_5_9_0_0_0_0_0_0,0_0_47,Kenya,T083,,N,N
91,92,36287,0_0_47_9_0_1_0_0_0_0_0,0_0_47,Kenya,43781,2010.0,N,N
92,93,36288,,,Kenya,T087,,N,N
93,94,36289,0_0_47_5_11_0_0_0_0_0_0,0_0_47,Kenya,42974,2010.0,N,N
94,95,36290,0_0_47_5_8_0_0_0_0_0_0,0_0_47,Kenya,47983,2011.0,N,N
95,96,36291,0_0_33_45_0_0_0_0_0_0_0,0_0_33,Kenya,60755,2013.0,N,N
96,97,36292,0_0_47_10_1_1_0_0_0_0_0,0_0_47,Kenya,60709,2013.0,N,N
97,98,36293,0_0_47_9_0_0_0_0_0_0_0,0_0_47,Kenya,43000,2010.0,N,N
98,99,36294,0_0_47_9_0_0_0_0_1_0_0,0_0_47,Kenya,43038,2010.0,N,N
99,100,36295,0_0_47_12_0_0_0_0_0_0_0,0_0_47,Kenya,46146,2010.0,N,N
100,101,36296,0_0_47_9_0_1_0_0_0_1_0,0_0_47,Kenya,44569,2010.0,N,N
101,102,36297,0_0_47_5_6_0_0_0_1_0_0,0_0_47,Kenya,52492,2012.0,N,N
102,103,36298,0_0_47_9_0_1_0_0_0_0_0,0_0_47,Kenya,T101,2010.0,N,N
103,104,36299,0_16_0_1_0_1_0_0_0_0_0,0_16_0,Kenya,46445,2011.0,N,N
104,105,36300,0_16_0_2_2_0_0_0_0_1_0,0_16_0,Kenya,T104,,N,N
105,106,36301,0_0_47_10_1_1_0_0_0_0_0,0_0_47,Kenya,T105,,N,N
106,107,36302,0_16_4_0_1_1_0_0_0_0_0,0_16_4,Kenya,T106,,N,N
107,108,39081,0_16_4_0_3_0_0_0_0_0_0,0_16_4,Kenya,64204,2014.0,N,N
108,109,39082,0_0_47_5_6_0_1_0_0_0_0,0_0_47,Kenya,64500,2014.0,N,N
109,110,39083,0_16_4_0_1_2_0_0_0_0_0,0_16_4,Kenya,64579,2014.0,N,N
