MtrD,species,label
5691,#FF2600,N.gonorrhoeae
5004,#FF2600,N.gonorrhoeae
5756,#FF2600,N.gonorrhoeae
4386,#FF2600,N.gonorrhoeae
646,#FF2600,N.gonorrhoeae
5014,#FF2600,N.gonorrhoeae
1945,#FF2600,N.gonorrhoeae
3391,#FF2600,N.gonorrhoeae
3987,#FF2600,N.gonorrhoeae
5720,#FF2600,N.gonorrhoeae
367,#FF2600,N.gonorrhoeae
4404,#FF2600,N.gonorrhoeae
2024,#FF2600,N.gonorrhoeae
5213,#FF2600,N.gonorrhoeae
658,#FF2600,N.gonorrhoeae
826,#FF2600,N.gonorrhoeae
4271,#FF2600,N.gonorrhoeae
4718,#FF2600,N.gonorrhoeae
2548,#FF2600,N.gonorrhoeae
4371,#FF2600,N.gonorrhoeae
4409,#FF2600,N.gonorrhoeae
5553,#FF2600,N.gonorrhoeae
5059,#FF2600,N.gonorrhoeae
4719,#FF2600,N.gonorrhoeae
2405,#FF2600,N.gonorrhoeae
2255,#FF2600,N.gonorrhoeae
848,#FF2600,N.gonorrhoeae
3844,#FF2600,N.gonorrhoeae
5754,#FF2600,N.gonorrhoeae
2014,#FF2600,N.gonorrhoeae
657,#FF2600,N.gonorrhoeae
4319,#FF2600,N.gonorrhoeae
4412,#FF2600,N.gonorrhoeae
2391,#FF2600,N.gonorrhoeae
4317,#FF2600,N.gonorrhoeae
3384,#FF2600,N.gonorrhoeae
644,#FF2600,N.gonorrhoeae
5554,#FF2600,N.gonorrhoeae
630,#FF2600,N.gonorrhoeae
3376,#FF2600,N.gonorrhoeae
3369,#FF2600,N.gonorrhoeae
1426,#FF2600,N.gonorrhoeae
1422,#FF2600,N.gonorrhoeae
374,#FF2600,N.gonorrhoeae
2659,#FF2600,N.gonorrhoeae
1427,#FF2600,N.gonorrhoeae
656,#FF2600,N.gonorrhoeae
3373,#FF2600,N.gonorrhoeae
3925,#FF2600,N.gonorrhoeae
372,#FF2600,N.gonorrhoeae
677,#FF2600,N.gonorrhoeae
1554,#FF2600,N.gonorrhoeae
845,#FF2600,N.gonorrhoeae
4378,#FF2600,N.gonorrhoeae
3886,#FF2600,N.gonorrhoeae
3363,#FF2600,N.gonorrhoeae
451,#FF2600,N.gonorrhoeae
3920,#FF2600,N.gonorrhoeae
682,#FF2600,N.gonorrhoeae
4306,#FF2600,N.gonorrhoeae
3379,#FF2600,N.gonorrhoeae
639,#FF2600,N.gonorrhoeae
2392,#FF2600,N.gonorrhoeae
3991,#FF2600,N.gonorrhoeae
681,#FF2600,N.gonorrhoeae
3813,#FF2600,N.gonorrhoeae
5726,#FF2600,N.gonorrhoeae
4717,#FF2600,N.gonorrhoeae
4408,#FF2600,N.gonorrhoeae
4728,#FF2600,N.gonorrhoeae
378,#FF2600,N.gonorrhoeae
299,#FF2600,N.gonorrhoeae
679,#FF2600,N.gonorrhoeae
3812,#FF2600,N.gonorrhoeae
1943,#FF2600,N.gonorrhoeae
17,#FF2600,N.gonorrhoeae
2757,#FF2600,N.gonorrhoeae
1599,#FF2600,N.gonorrhoeae
3365,#FF2600,N.gonorrhoeae
676,#FF2600,N.gonorrhoeae
3374,#FF2600,N.gonorrhoeae
672,#FF2600,N.gonorrhoeae
673,#FF2600,N.gonorrhoeae
3372,#FF2600,N.gonorrhoeae
2367,#FF2600,N.gonorrhoeae
1555,#FF2600,N.gonorrhoeae
2020,#FF2600,N.gonorrhoeae
1805,#FF2600,N.gonorrhoeae
1122,#FF2600,N.gonorrhoeae
1890,#FF2600,N.gonorrhoeae
4384,#FF2600,N.gonorrhoeae
5750,#FF2600,N.gonorrhoeae
3440,#FF2600,N.gonorrhoeae
2407,#FF2600,N.gonorrhoeae
678,#FF2600,N.gonorrhoeae
640,#FF2600,N.gonorrhoeae
3393,#FF2600,N.gonorrhoeae
3380,#FF2600,N.gonorrhoeae
1601,#FF2600,N.gonorrhoeae
3378,#FF2600,N.gonorrhoeae
3924,#FF2600,N.gonorrhoeae
3456,#FF2600,N.gonorrhoeae
3383,#FF2600,N.gonorrhoeae
2401,#FF2600,N.gonorrhoeae
659,#FF2600,N.gonorrhoeae
4777,#FF2600,N.gonorrhoeae
825,#FF2600,N.gonorrhoeae
2236,#FF2600,N.gonorrhoeae
669,#FF2600,N.gonorrhoeae
3845,#FF2600,N.gonorrhoeae
5003,#FF2600,N.gonorrhoeae
662,#FF2600,N.gonorrhoeae
666,#FF2600,N.gonorrhoeae
2813,#FF2600,N.gonorrhoeae
2016,#FF2600,N.gonorrhoeae
643,#FF2600,N.gonorrhoeae
3381,#FF2600,N.gonorrhoeae
3485,#FF2600,N.gonorrhoeae
636,#FF2600,N.gonorrhoeae
3992,#FF2600,N.gonorrhoeae
668,#FF2600,N.gonorrhoeae
1604,#FF2600,N.gonorrhoeae
854,#FF2600,N.gonorrhoeae
2409,#FF2600,N.gonorrhoeae
3367,#FF2600,N.gonorrhoeae
370,#FF2600,N.gonorrhoeae
1592,#FF2600,N.gonorrhoeae
632,#FF2600,N.gonorrhoeae
5690,#FF2600,N.gonorrhoeae
3375,#FF2600,N.gonorrhoeae
844,#FF2600,N.gonorrhoeae
3389,#FF2600,N.gonorrhoeae
3921,#FF2600,N.gonorrhoeae
5731,#FF2600,N.gonorrhoeae
380,#FF2600,N.gonorrhoeae
2387,#FF2600,N.gonorrhoeae
2403,#FF2600,N.gonorrhoeae
5686,#FF2600,N.gonorrhoeae
1602,#FF2600,N.gonorrhoeae
3385,#FF2600,N.gonorrhoeae
2379,#FF2600,N.gonorrhoeae
4393,#FF2600,N.gonorrhoeae
5722,#FF2600,N.gonorrhoeae
851,#FF2600,N.gonorrhoeae
667,#FF2600,N.gonorrhoeae
1888,#FF2600,N.gonorrhoeae
3366,#FF2600,N.gonorrhoeae
3446,#FF2600,N.gonorrhoeae
1600,#FF2600,N.gonorrhoeae
647,#FF2600,N.gonorrhoeae
3382,#FF2600,N.gonorrhoeae
4381,#FF2600,N.gonorrhoeae
167,#FF2600,N.gonorrhoeae
365,#FF2600,N.gonorrhoeae
624,#FF2600,N.gonorrhoeae
5685,#FF2600,N.gonorrhoeae
5102,#FF2600,N.gonorrhoeae
1593,#FF2600,N.gonorrhoeae
2365,#FF2600,N.gonorrhoeae
21,#FF2600,N.gonorrhoeae
2528,#FF2600,N.gonorrhoeae
379,#FF2600,N.gonorrhoeae
1117,#FF2600,N.gonorrhoeae
2010,#FF2600,N.gonorrhoeae
2378,#FF2600,N.gonorrhoeae
2386,#FF2600,N.gonorrhoeae
625,#FF2600,N.gonorrhoeae
846,#FF2600,N.gonorrhoeae
3392,#FF2600,N.gonorrhoeae
5725,#FF2600,N.gonorrhoeae
3445,#FF2600,N.gonorrhoeae
3386,#FF2600,N.gonorrhoeae
650,#FF2600,N.gonorrhoeae
2395,#FF2600,N.gonorrhoeae
375,#FF2600,N.gonorrhoeae
18,#FF2600,N.gonorrhoeae
1844,#FF2600,N.gonorrhoeae
1595,#FF2600,N.gonorrhoeae
4375,#FF2600,N.gonorrhoeae
649,#FF2600,N.gonorrhoeae
1597,#FF2600,N.gonorrhoeae
823,#FF2600,N.gonorrhoeae
4720,#FF2600,N.gonorrhoeae
849,#FF2600,N.gonorrhoeae
2383,#FF2600,N.gonorrhoeae
1563,#FF2600,N.gonorrhoeae
655,#FF2600,N.gonorrhoeae
5732,#FF2600,N.gonorrhoeae
5688,#FF2600,N.gonorrhoeae
3774,#FF2600,N.gonorrhoeae
1947,#FF2600,N.gonorrhoeae
2527,#FF2600,N.gonorrhoeae
4372,#FF2600,N.gonorrhoeae
5684,#FF2600,N.gonorrhoeae
5755,#FF2600,N.gonorrhoeae
3846,#FF2600,N.gonorrhoeae
745,#FF2600,N.gonorrhoeae
4414,#FF2600,N.gonorrhoeae
2402,#FF2600,N.gonorrhoeae
631,#FF2600,N.gonorrhoeae
3771,#FF2600,N.gonorrhoeae
1560,#FF2600,N.gonorrhoeae
663,#FF2600,N.gonorrhoeae
5735,#FF2600,N.gonorrhoeae
3867,#FF2600,N.gonorrhoeae
1946,#FF2600,N.gonorrhoeae
5687,#FF2600,N.gonorrhoeae
5825,#FF2600,N.gonorrhoeae
4721,#FF2600,N.gonorrhoeae
637,#FF2600,N.gonorrhoeae
633,#FF2600,N.gonorrhoeae
2200,#FF2600,N.gonorrhoeae
638,#FF2600,N.gonorrhoeae
4390,#FF2600,N.gonorrhoeae
4402,#FF2600,N.gonorrhoeae
3986,#FF2600,N.gonorrhoeae
652,#FF2600,N.gonorrhoeae
3777,#FF2600,N.gonorrhoeae
3447,#FF2600,N.gonorrhoeae
4411,#FF2600,N.gonorrhoeae
4413,#FF2600,N.gonorrhoeae
3394,#FF2600,N.gonorrhoeae
853,#FF2600,N.gonorrhoeae
4370,#FF2600,N.gonorrhoeae
4644,#FF2600,N.gonorrhoeae
4374,#FF2600,N.gonorrhoeae
3916,#FF2600,N.gonorrhoeae
3276,#FF2600,N.gonorrhoeae
4389,#FF2600,N.gonorrhoeae
2021,#FF2600,N.gonorrhoeae
3362,#FF2600,N.gonorrhoeae
4417,#FF2600,N.gonorrhoeae
5012,#FF2600,N.gonorrhoeae
3864,#FF2600,N.gonorrhoeae
3729,#FF2600,N.gonorrhoeae
3773,#FF2600,N.gonorrhoeae
2254,#FF2600,N.gonorrhoeae
1603,#FF2600,N.gonorrhoeae
4398,#FF2600,N.gonorrhoeae
3776,#FF2600,N.gonorrhoeae
2366,#FF2600,N.gonorrhoeae
3887,#FF2600,N.gonorrhoeae
2408,#FF2600,N.gonorrhoeae
3919,#FF2600,N.gonorrhoeae
3863,#FF2600,N.gonorrhoeae
2373,#FF2600,N.gonorrhoeae
2199,#FF2600,N.gonorrhoeae
4387,#FF2600,N.gonorrhoeae
664,#FF2600,N.gonorrhoeae
648,#FF2600,N.gonorrhoeae
3903,#FF2600,N.gonorrhoeae
5005,#FF2600,N.gonorrhoeae
4385,#FF2600,N.gonorrhoeae
4394,#FF2600,N.gonorrhoeae
654,#FF2600,N.gonorrhoeae
5144,#FF2600,N.gonorrhoeae
2765,#FF2600,N.gonorrhoeae
2815,#FF2600,N.gonorrhoeae
3775,#FF2600,N.gonorrhoeae
371,#FF2600,N.gonorrhoeae
3387,#FF2600,N.gonorrhoeae
2384,#FF2600,N.gonorrhoeae
1420,#FF2600,N.gonorrhoeae
1594,#FF2600,N.gonorrhoeae
855,#FF2600,N.gonorrhoeae
4391,#FF2600,N.gonorrhoeae
850,#FF2600,N.gonorrhoeae
2376,#FF2600,N.gonorrhoeae
4730,#FF2600,N.gonorrhoeae
2372,#FF2600,N.gonorrhoeae
2380,#FF2600,N.gonorrhoeae
2370,#FF2600,N.gonorrhoeae
683,#FF2600,N.gonorrhoeae
5824,#FF2600,N.gonorrhoeae
1886,#FF2600,N.gonorrhoeae
5823,#FF2600,N.gonorrhoeae
3989,#FF2600,N.gonorrhoeae
3454,#FF2600,N.gonorrhoeae
1766,#FF2600,N.gonorrhoeae
4376,#FF2600,N.gonorrhoeae
3922,#FF2600,N.gonorrhoeae
2197,#FF2600,N.gonorrhoeae
4379,#FF2600,N.gonorrhoeae
4382,#FF2600,N.gonorrhoeae
671,#FF2600,N.gonorrhoeae
747,#FF2600,N.gonorrhoeae
2394,#FF2600,N.gonorrhoeae
2368,#FF2600,N.gonorrhoeae
634,#FF2600,N.gonorrhoeae
1944,#FF2600,N.gonorrhoeae
1454,#FF2600,N.gonorrhoeae
3438,#FF2600,N.gonorrhoeae
1421,#FF2600,N.gonorrhoeae
2242,#FF2600,N.gonorrhoeae
3866,#FF2600,N.gonorrhoeae
2385,#FF2600,N.gonorrhoeae
3917,#FF2600,N.gonorrhoeae
1551,#FF2600,N.gonorrhoeae
2404,#FF2600,N.gonorrhoeae
4305,#FF2600,N.gonorrhoeae
2364,#FF2600,N.gonorrhoeae
3865,#FF2600,N.gonorrhoeae
16,#FF2600,N.gonorrhoeae
2400,#FF2600,N.gonorrhoeae
2382,#FF2600,N.gonorrhoeae
2393,#FF2600,N.gonorrhoeae
635,#FF2600,N.gonorrhoeae
1562,#FF2600,N.gonorrhoeae
2198,#FF2600,N.gonorrhoeae
4392,#FF2600,N.gonorrhoeae
2377,#FF2600,N.gonorrhoeae
2388,#FF2600,N.gonorrhoeae
2375,#FF2600,N.gonorrhoeae
3988,#FF2600,N.gonorrhoeae
1590,#FF2600,N.gonorrhoeae
